id,title,description,level,language,url
WFanvtoSEeedbRLwgi9a7A,FinTech Disruptive Innovation: Implications for Society,"This course “FinTech Disruptive Innovation: Implications for Society” help you understand how disruptive innovations create opportunity in finance industry and its impact to society especially your career. You would be able to examine and analyse how FinTech innovations would affect companies that relates to FinTech services and how it might affect your career in finance.

You will learn about how peer to peer lending disrupt finance industry in different countries, the diversity of impact by FinTech in the comparison of East vs West, Big firms vs Small firms, and different generations etc., how to predict FinTech trends in different markets, and finally what you should do to pursue your career and secure your position in FinTech industry.",BEGINNER,English,https://www.coursera.org/learn/fintech-disruption
pkGGJ4SKEe-L8RKezlgehQ,Develop Code with Gemini in BigQuery,"This is a self-paced lab that takes place in the Google Cloud console. In this lab you learn how to use Gemini code generation, explanation and suggestions in BigQuery.",BEGINNER,English,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o
-apBEzvWEfC3HAr_0KfBDw,The Linux Essentials,"This course features Coursera Coach!

A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

In this course, you'll embark on a journey through the world of Linux, gaining foundational knowledge to navigate and manage Linux operating systems. From understanding the history and usage of Linux to mastering essential command-line operations, this course will provide you with a strong base to begin your Linux journey. You'll also dive into Linux distributions, comparing popular versions like Ubuntu, CentOS, and Debian, and learn the nuances of installing and configuring them.
As you progress, you'll explore using Linux’s powerful CLI (Command Line Interface) for tasks such as file management, software installation, networking, and scripting. You’ll learn how to manage networks, secure systems, and administer user accounts, empowering you to configure, manage, and secure Linux systems with confidence.
The course is designed for beginners who want to start from the basics, progressing to more advanced Linux administration tasks. Whether you’re interested in IT, system administration, or development, this course will provide a solid foundation for managing Linux environments. No prior experience with Linux is required.",BEGINNER,English,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq
FBvT5U8KEe-Yaw6jHW3arw,Get Started with iOS App Development ,"In a world increasingly dominated by mobile technologies, the demand for mobile app developers continues to be at an all-time high. Apple’s thriving business and enduring popularity of iPhone apps emphasize this trend. Whether you’re a beginner eager to make strides in this field or a seasoned developer seeking to upskill, mastering iOS app development is essential to succeed in this competitive market.  

This course will introduce you to the essential components, features, tools, and concepts for developing iOS apps. You will explore Xcode, its interface, and key features. You will also gain insight into the features and concepts of Swift and SwiftUI. Finally, you will develop basic iOS apps using the skills you learned throughout the course.    

The hands-on learning offered in this course will further equip you with a solid foundation for developing iOS apps.

You will require a macOS laptop or desktop to complete the hands-on labs and project. This micro-course, which will only take a few hours to complete, is suitable for beginners and experienced developers and requires no prior programming experience.

So, enroll today to gain the practical experience employers seek and prepare to take your career to new heights!",BEGINNER,English,https://www.coursera.org/learn/get-started-with-ios-app-development
pdAAp3FQEfCAyA7fSPcIsw,Create Amazing Macros in Affinity Photo,"Ready to save time and supercharge your photo editing workflow? In this course, taught by Ally, the creator of Affinity Revolution, you’ll learn how to create powerful, high-quality macros in Affinity Photo—perfect for applying complex edits with a single click.

By the end of this course, you’ll be able to:
* Build your own custom macros for color correction, retouching, and effects
* Automate repetitive editing tasks to streamline your creative process
* Batch process multiple images using Affinity’s Library and Macro tools

Whether you’re a photographer, designer, or creative hobbyist, this course is for anyone looking to boost efficiency without sacrificing quality. You’ll gain instant access to 30 professionally designed macros and learn exactly how each one was made—so you can start editing faster and smarter right away.

To be successful in this course, you should have a working knowledge of Affinity Photo’s interface and basic editing tools. If macros are new to you, get ready—they’re fun, practical, and a game-changer for your workflow.

Join Affinity Revolution and discover the power of macros in Affinity Photo!

Instructor bio:
Ally, the creator of Affinity Revolution, has been teaching people how to use the Affinity creative suite since 2016. Through her easy-to-follow tutorials on Affinity Photo, Designer, and Publisher, she focuses on delivering maximum value in minimal time—making complex tools feel simple and approachable. Ally knows that learning Affinity can feel overwhelming at first, but with her step-by-step guidance, you’ll quickly gain confidence and master the skills to bring your creative projects to life.",BEGINNER,English,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo
fqWIl4fFEfCCSg698sr4dw,"Inventory Management: Analyze, Optimize & Control","By the end of this course, learners will be able to identify the fundamentals of inventory management, calculate and apply Economic Order Quantity (EOQ), classify items using ABC Analysis, evaluate procurement processes, and compare valuation methods such as FIFO, LIFO, and Average Cost. The course equips participants with practical tools to maintain optimal stock levels, minimize costs, and improve operational efficiency.

This course benefits professionals, students, and entrepreneurs by linking theoretical concepts with real-world applications—helping them make informed decisions about ordering, safety stock, supplier evaluation, and Just-In-Time (JIT) practices. Unlike basic introductions, this course uniquely combines stock level controls, EOQ models, and valuation techniques into one structured program. Learners gain a holistic understanding of how inventory impacts cost efficiency, financial reporting, and supply chain performance.

With structured modules, practice quizzes, and graded assessments, this course ensures that participants not only understand concepts but also build the analytical skills needed for effective inventory control.",Not Specified,English,https://www.coursera.org/learn/inventory-management-analyze-optimize-control
v9CQdBkhEeWjrA6seF25aw,Modern Art & Ideas,"Modern Art & Ideas is designed for anyone interested in learning more about modern and contemporary art. You will look at art through a variety of themes, including Places and Spaces, Art and Identity, Transforming Everyday Objects, and Art and Society. 

Each week kicks off with a video that connects key works of art to the theme. You’ll also have access to interviews with artists, designers, and others who speak about their materials, processes, and sources of inspiration. Through the discussion forum prompts you will also have the opportunity to connect with other learners and explore how these themes resonate with you.",BEGINNER,English,https://www.coursera.org/learn/modern-art-ideas
1dph_mZFEe-EPwr_9XyAcQ,Brand Identity and Vector Graphics,"This course develops graphic designs skills using Adobe IIllustrator and design sensibilities through effective feedback integration and iterative design processes. Learn to leverage constructive criticism to refine your work, experiment with diverse approaches, and ultimately achieve design excellence.

By the end of this course, you'll be able to: 

• Develop skills in creating visually appealing compositions using Adobe Illustrator.
• Create logos and corporate symbols that effectively represent a brand.
• Design brand identity materials, ensuring consistency across all design elements.
• Complete a final project that demonstrates the ability to create cohesive visual design and branding materials for a video game using Adobe Illustrator.

This is an introduction course, intended for aspiring graphic designers who want to gain essential skills in Adobe Illustrator and learn how to create professional-quality logos and branding materials, graphic designers seeking to specialize in branding, and anyone wanting to learn how to visually represent brands effectively and create consistent brand messaging across various platforms. To succeed in this course, you should have basic literacy, familiarity with basic design principles, and access to Adobe Illustrator.",BEGINNER,English,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics
QgmoVdT2EeSlhSIACx2EBw,The Evolving Universe,"This is an introductory astronomy survey class that covers our understanding of the physical universe and its major constituents, including planetary systems, stars, galaxies, black holes, quasars, larger structures, and the universe as a whole.",Not Specified,English,https://www.coursera.org/learn/evolvinguniverse
350EFQUFEfCPRRJPAkb9OQ,CyberSec First Responder (CFR-310),"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

In this course, you’ll gain the foundational knowledge needed to respond effectively to cybersecurity incidents. You will be introduced to the key elements of identifying and analyzing cyber threats, attacks, and vulnerabilities. Throughout the course, you'll develop the skills to assess the security posture of a network and prepare a response to potential incidents. By the end, you'll have a comprehensive understanding of the cybersecurity landscape, empowering you to safeguard and protect organizational systems.

The course begins with an in-depth exploration of the different types of cyber threats and actors, as well as the common attack vectors they use. You will learn how attacks are structured, their motives, and the impact they may have on businesses and individuals. In addition to understanding the threats, you'll delve into tools and techniques for vulnerability scanning, penetration testing, and network and system reconnaissance, all critical for identifying weaknesses before an attack happens.

As you progress, the course will focus on gaining access through various attack techniques, including web app scanning, social engineering, and wireless attacks. You will also dive deeper into post-exploitation tactics such as data exfiltration, pivoting, lateral movement, and maintaining persistence. Equipped with these skills, you'll be able to recognize when an attack is underway and respond appropriately.

This course is ideal for aspiring cybersecurity professionals or those looking to enhance their skills in incident response. It’s designed for individuals with a basic understanding of IT concepts, and while no advanced technical knowledge is required, familiarity with networking and security basics will help you excel. The course is structured to build both theoretical understanding and practical skills for dealing with cyber threats.",INTERMEDIATE,English,https://www.coursera.org/learn/packt-cybersec-first-responder-cfr-310-x6eph
zRhFMLBVEeqP6QqV6TddSw,Use SurveyMonkey to Create a Survey and Analyze Results,"In this project, we will walk through the survey making process and explore the many ways that SurveyMonkey streamlines and simplifies data collection. We will learn how the program is organized and how it operates, helping you feel comfortable and confident enough to create your own survey to meet your own individual needs.

SurveyMonkey is a cloud based survey software which allows its users to create online surveys for free. SurveyMonkey can help move a business in the right direction by collecting the opinions and thoughts of their employees, shareholders, customers, or any other invested group of individuals. After creating a survey with SurveyMonkey, you can easily email them to your target audience or post them on social media. The question templates provided by SurveyMonkey make creating a professional and thorough survey quick and easy. Its user friendly features and detailed options allow amateurs and marketing gurus alike to create the perfect survey to meet their needs. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",BEGINNER,English,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey
LuXbfNnCEeq3nQoreMGNOQ,Performing Data Aggregation using SQL Aggregate Functions,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions. The aggregate functions we will consider in this project are COUNT, SUM, MIN, MAX and AVG. Aggregate functions are used to summarize data from rows of a table into a single value. In addition, you will learn how to set conditions on the output of an aggregate function using the HAVING clause. Finally, you will learn how to tidy up the result set of aggregate functions using the ROUND function.

Note: You do not need to be a data administrator or data analyst to be successful in this guided project, just a familiarity with querying databases using SQL SELECT statement suffice for this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled “Performing Data definition and Manipulation in SQL.""  and “Querying Databases using SQL SELECT statement”",INTERMEDIATE,English,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions
qB62RZp5Ee-rwhIp96UKPw,Advancing Mask Technology for Semiconductors,"This is a comprehensive course designed to deepen your understanding of semiconductor mask technology, a critical component in the miniaturization and efficiency of electronic devices. Throughout this course, you'll explore fundamental concepts, advanced techniques, and practical applications of mask design and fabrication processes, equipping you with the skills necessary to excel in semiconductor manufacturing.

This course is tailored for engineers, technologists, and professionals involved in semiconductor manufacturing and design. It is also suitable for individuals interested in advanced fabrication processes and those aiming to deepen their expertise in semiconductor mask technology.

Participants should have a basic understanding of semiconductor technology, including manufacturing processes and device physics. Familiarity with mask design principles, CAD tools, photolithography, etching, deposition, doping techniques, and cleanroom protocols is recommended. Knowledge of semiconductor device technologies such as CMOS, BJT, and GaN, as well as quality control methods in semiconductor fabrication, will be beneficial.

By the end of this course, you will be able to explain the fundamental principles of semiconductor mask design, apply advanced lithography and fabrication techniques, optimize mask performance for improved manufacturing quality, and implement yield enhancement strategies in semiconductor production. These competencies will empower you to address complex fabrication challenges and stay abreast of the latest advancements in mask technology.",INTERMEDIATE,English,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors
B6cXoZ3VEe6J0A5c28jyYQ,Developing AI Policy,"AI tools are already changing how we work, and they will continue to do so for years. Over the next few years, we’re likely going to see AI used in ways we’ve never imagined and are not anticipating. This course will guide you as you lead your organization to adopt AI in a way that’s not unethical, illegal, or wrong. This course empowers you to make informed decisions and confidently create an AI policy that matches your organizational goals.

Unique Features of this Course

- Broadly applicable to audiences of any field
- Efficient yet effective overview of major AI policy concerns
- Beginner friendly for those who want to get started using generative AI tools
- Practical tips for how to develop an AI policy and advisory team
- Real-world examples of how industry regulations around AI have changed

Key Words

Artificial Intelligence (AI), Policy, Generative AI, Large Language Models (LLMs),  Data Science

Intended Audience

- Professionals looking for an introduction to AI policies and general regulations
- Decision makers who may have to help write AI policies or determine how AI will be used at an institute
- Anyone curious about how we can use AI more responsibly",BEGINNER,English,https://www.coursera.org/learn/developing-ai-policy
4ltPmv2EEe-ehwr_ziEUiw,GenAI for Talent Acquisition: Smarter Candidate Screening,"In this course, you’ll discover how GenAI-powered tools can transform candidate screening by automating repetitive tasks, enhancing evaluations, and ensuring ethical hiring decisions. Through hands-on experience with custom GPTs, Gemini Gems, Power Automate, and AI-driven workflows, you’ll learn to optimize hiring processes, reduce bias, and improve decision-making.

This course is designed for HR professionals, recruiters, talent acquisition specialists, and workforce strategists who want to leverage Generative AI for smarter, faster candidate screening. It’s also ideal for business analysts and operations managers seeking to optimize hiring workflows using AI-powered solutions. Whether you’re looking to automate resume parsing, enhance candidate assessments, or streamline your recruitment process, this course provides practical tools and strategies to elevate your talent acquisition game.

To succeed in this course, you should have a basic understanding of HR processes, particularly in recruitment and candidate screening. Familiarity with Generative AI tools like ChatGPT, Google Gemini, or similar platforms will be beneficial, but no programming or technical expertise is required—just a willingness to explore AI-driven hiring solutions and experiment with automation tools.

By the end of this course, you will have the skills and confidence to integrate Generative AI into your candidate screening processes, making recruitment smarter, faster, and more efficient. You’ll know how to craft AI-driven prompts, automate screening workflows, and mitigate bias, ensuring ethical and effective hiring decisions. Whether you’re looking to reduce manual workload, improve candidate evaluations, or enhance decision-making, you now have the tools to leverage AI responsibly and strategically in talent acquisition.",INTERMEDIATE,English,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening
lDHhgquQEey44Q4AsVOVkw,Consulting Presentations and Storytelling,"This is the #5 course in the specialization on management consulting. In the previous 4 courses, we’ve learned how consultants break down problems with tools and logical thinking. Now, it’s time to bring all the parts together into consulting-quality presentations and deliverables. Every consulting project is different, and yet, the final presentation will have many of the same elements:
•	Clear alignment among the stakeholders on the project goals
•	Understanding on the consulting approach, assumptions, and decisions
•	Thoughtful progression of ideas that “brings the audience along”
•	Well-constructed PowerPoint slides (or excel model) which tell a clear story
•	Impactful use of graphs, tables, data visualization
•	Persuasive and authoritative delivery style",BEGINNER,English,https://www.coursera.org/learn/management-consulting-presentations
jso0OYzeEfClfhKuRtXbYQ,The Zero Trust Framework,"This course is designed to demystify Zero Trust security and guide learners through practical implementation. Based on the principle of “never trust, always verify,” this course explains what Zero Trust is, why it matters, and how organizations can begin their Zero Trust journey. 

Key topics include network, endpoint, and cloud security, starting with foundational concepts and addressing misconceptions—highlighting that Zero Trust is not achieved by simply deploying technologies. Real-world use cases, assessment methodologies, and maturity ranking techniques help participants create a customized Zero Trust strategy for their business.

The curriculum explores modern Zero Trust standards and frameworks, such as NIST and the Open Group, moving from principles to architectural design. With a focus on practical application and strategic planning, this course is ideal for anyone responsible for organizational security seeking to enhance their defense strategy using Zero Trust.",INTERMEDIATE,English,https://www.coursera.org/learn/pearson-the-zero-trust-framework-video-course-o5esi
bdcJIWIyEe62wwrYx-2qTQ,Product Management: Developing and Delivering a New Product,"In this course you will be introduced to the steps required to effectively develop and launch a new product. These are important phases of the product management lifecycle and generally consume majority of the product manager's time.  

The course highlights how resources are assigned to design, create, and test the new product. The course also walks you through best practices to ensure a smooth transition from product development to product launch and delivery. Then, once the lifecycle of the product has come to an end, you will learn about how the Product Manager oversees retirement processes for the product. 

Throughout this course, several product management experts will share their insights and experiences in product management. Practice quizzes and graded quizzes will test your knowledge throughout. Also, you will put what you have learned to the test in a series of practical exercises that culminates in a final project allowing you to demonstrate real-word product management expertise. 

This course is suitable for anyone who aspires to apply for product management jobs. It requires no prior experience or knowledge of product management.",BEGINNER,English,https://www.coursera.org/learn/product-management-developing-and-delivering-a-new-product
owRx0e6nEe2_1Q54ZEzvJQ,Fundamentals of Blockchain Architecture,"This course is ideal for individuals with a basic understanding of digital technology as well as developers or security professionals wishing to expand their blockchain knowledge. It provides a comprehensive introduction to the world of blockchain technology. We will delve into the core principles of blockchain, exploring the critical decision-making processes involved in adopting this innovative technology. This course offers an overview of various blockchain platforms, hosting decisions, associated technologies, and the key development languages used. An important aspect of this course will be the introduction to the concept of consensus mechanisms and their integral role in maintaining the integrity of the blockchain.

By the end of this course, you will be able to:
- Describe how blocks are chained together
- Compare and contrast Pure versus Hybrid blockchains
- List the blockchain layers and describe what each of them does
- Describe the difference between on-chain and off-chain data storage
- Determine the right language and tools based on the blockchain platform and use case
- Describe the Byzantine Generals Problem
- Explain the blockchain trilemma
- Explain how cryptography, consensus, and immutability enhance blockchain security",INTERMEDIATE,English,https://www.coursera.org/learn/fundamentals-blockchain-architecture
B6LZjKkwEeyjPxJkzIUqCw,Debugging Apps on Google Kubernetes Engine,This is a self-paced lab that takes place in the Google Cloud console. This lab teaches you how logging works on GKE and some best practices for log collection by going through some common logging use cases.,INTERMEDIATE,English,https://www.coursera.org/learn/googlecloud-debugging-apps-on-google-kubernetes-engine-8pzmb
3uRPpdGFEeiElA6q2-9yxA,Researcher Management and Leadership Training,"This course is for early career researchers and mentors who believe that modern scientific careers require management skills and want to be research leaders. This curriculum gives you skills to effectively implement funded projects, thereby enhancing your career success. Research leaders take on a number of new roles, rights, and responsibilities--as scientific leaders, financial administrators, managers, and mentors. In this course, we explain how to optimize the people, teams, projects, and finances for which you are responsible. 

Despite your research training, you are probably facing an urgent training gap in leadership and management skills. Scientific careers falter for non-science reasons when researchers fail to execute a scope of work: struggle to track expenses and returns substantial unspent grant funds; or run out of funds by spending on the wrong people or mismanaging the right people. Consequently, projects close with inadequate progress on aims, thus compromising successful competition for future funding. This course will help avoid these traps.

Leadership and management are essential skills for researchers. Several early career researchers, senior scientists, and administrative leaders are eager to share their expertise and experiences with you.",INTERMEDIATE,English,https://www.coursera.org/learn/researcher-management-leadership-training
j-zL7CvgEemV_A4t3mTtWg,Introduction to Enterprise Computing,"Large Scale Enterprise Computing powers all major transactions, and the Mainframe is responsible for 87% of all credit card transactions and enables 71% of all Fortune 500 companies. Mainframes are fundamental on how we do business, and IBM Z is the only production mainframe sold today. Virtually everyone depends on it. This is your introduction to the hardware, operating systems, security, and features that make this possible.

On successful completion of this course, learners are eligible to earn their Introduction to Enterprise Computing badge. More information can be found here: https://www.youracclaim.com/org/ibm/badge/introduction-to-enterprise-computing",BEGINNER,English,https://www.coursera.org/learn/introduction-enterprise-computing
_HtpP_VIEe2OqwqhrYNGhQ,Financial Planning,"This course aims to furnish learners with the essential knowledge necessary for comprehending financial statements, financial markets, economic dynamics, and the construction of investment portfolios. 

The programme's first module serves as an introductory session, elucidating fundamental finance terminologies, and the imperative nature of financial planning. Additionally, it also offers the strategic insights into prudent management of loans and credit to evade potential debt pitfalls. 

Subsequently, the second module delves into the pathways leading to financial independence. The third module scrutinizes on the various streams of income, exploring their diverse forms and implications. 
In the fourth module, participants will acquire a comprehensive understanding of investment fundamentals, encompassing an array of investment vehicles and available avenues for deployment. Modules five and six are dedicated to elucidating the rudiments of life and health insurance, as well as strategies for effective tax planning. 

At the culmination of this course, the participants develop a holistic understanding of financial planning, enabling them to navigate the intricacies of financial management with confidence and proficiency.

Who should take this course?
This program offers valuable insights to learners who are looking to explore their personal financial landscape in a systematic manner and to grasp the implications of broader economic factors such as taxation and inflation.

What do you need to know before taking this course?
While the modules related to financial independence, investing, insurance, and taxation are designed to be comprehensive, any pre-existing knowledge in these areas could enrich the learner’s experience, although it is not mandatory.",BEGINNER,English,https://www.coursera.org/learn/financial-planning-course-isb
JnH_K9STEe6PnQom9vUvGw,Multimodality with Gemini,This is a self-paced lab that takes place in the Google Cloud console. This lab provides a variety of different use cases enabled by multimodality with Gemini Pro Vision.,INTERMEDIATE,English,https://www.coursera.org/learn/googlecloud-multimodality-with-gemini-zlf0n
j3N11nVAEe-CnQ7q4pwsMw,"Systems Acquisition, Development and Implementation","Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

This comprehensive course is designed to equip you with the knowledge and skills necessary to effectively audit IT project governance and system development processes. It begins with an overview of project governance and management, emphasizing the roles and responsibilities of key stakeholders, including project sponsors and the Project Management Office (PMO). You will gain a solid understanding of project initiation, planning, and execution phases, learning how to differentiate between auditing project content and project execution. Special focus is given to the project management methodologies, such as Agile and Predictive approaches, and the essential procedures for closing projects, ensuring you are well-versed in each phase of the project lifecycle.

The course then transitions to system development and risk management, where you will explore various system development lifecycle (SDLC) models and their associated risks. You will learn how to assess these risks and understand different software development methods, including the use of Computer Aided Software Engineering (CASE) tools and fourth-generation languages (4GLs). Key topics such as business case development, feasibility analysis, and the identification and design of effective data controls are thoroughly covered, preparing you to evaluate system and software development from an IS auditor's perspective.

In the final modules, the focus shifts to testing methodologies, data integrity, and change management. You will delve into decision support systems, testing plans, and methodologies to ensure data integrity and accuracy in application systems. The course also covers data migration processes, changeover techniques, and post-implementation reviews (PIR). By the end of the course, you will have a robust understanding of how to audit complex IT projects and system development processes, positioning you for success in the CISA exam and your professional career.

This course is ideal for IT auditors, project managers, and professionals preparing for the CISA certification. It is recommended for individuals with a foundational understanding of information systems and project management. No prior CISA experience is required, but familiarity with IT governance and audit principles will be beneficial.",INTERMEDIATE,English,https://www.coursera.org/learn/packt-systems-acquisition-development-implementation-l8app
9eCUdfR9Ee-iuhIbetE9yw,Creating Engaging Content for YouTube,"Learn the video production process for YouTube, from planning and scripting to shooting, editing, and channel optimization. This course teaches you how to create professional-quality videos that capture viewer attention and leverage YouTube's powerful algorithm for maximum reach and engagement.

Through hands-on lessons, you'll learn to develop compelling video scripts, produce high-quality content using accessible equipment, and implement YouTube SEO best practices. You'll also discover strategies for creating effective YouTube Shorts, managing live streams, and building a sustainable channel strategy that drives audience growth.

By the end of this course, you will be able to:

- Create professional-quality videos optimized for YouTube's platform and algorithm
- Develop compelling video scripts and storyboards that maintain viewer attention
- Master video production techniques using smartphones and basic editing software
- Design effective channel branding and content strategies
- Build and engage a YouTube community through strategic content planning
- Analyze channel performance and optimize content using YouTube Analytics
- Implement YouTube monetization strategies and growth opportunities

Apply your skills in a final project where you'll create a complete YouTube channel launch package for a fictional brand.",BEGINNER,English,https://www.coursera.org/learn/creating-engaging-content-for-youtube
DX6sNLStEeyQSBIjGmLcFQ,Building No-Code Apps with AppSheet: Implementation,"This course teaches you how to implement various capabilities that include data organization and management, application security, actions and integrations in your app using AppSheet. The course also includes topics on managing and upgrading your app, improving performance and troubleshooting issues with your app.",INTERMEDIATE,English,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-implementation
